,,Homogeneity Score,Completeness Score,V-Measure
resnet50,cluster_kmeans,0.9665184799871349,0.9675168697782929,0.9670174171877923
resnet50,cluster_affinity,7.790230724188912e-17,1.0,1.5580461448377824e-16
resnet50,cluster_agglomerative,0.9821463604357813,0.9797861216101461,0.9809648213188289
senet50,cluster_kmeans,0.9725392574866712,0.9725588608223477,0.9725490590557251
senet50,cluster_affinity,0.9859446564808854,0.9557695532502166,0.9706226375967794
senet50,cluster_agglomerative,0.9861819338667919,0.983318946585131,0.9847483593190026
vgg16,cluster_kmeans,0.834002832525491,0.8415487846390551,0.837758816747251
vgg16,cluster_affinity,7.790230724188912e-17,1.0,1.5580461448377824e-16
vgg16,cluster_agglomerative,0.8898549757683208,0.8928908075917867,0.8913703068261316
